Code,Longitude,Latitude,Province,District,PGA_NS,PGA_EW,PGA_UD,Rjb,Rrup,Repi,Rhyp
"4128",30.02435,40.7249,"Kocaeli","Kartepe",22.5447944897,31.394483362,9.63602177868,148.9230843789334,148.9482153263281,150.587700317,150.746614843
"3907",27.155132,41.94237,"Kırklareli","Kofçaz",5.41809857962,4.91226113235,5.42805889068,142.40760162613353,142.83985243508857,150.794472544,150.953169393
"1022",27.493643,39.581697,"Balıkesir","İvrindi",14.2367351235,16.6130131296,13.0910901343,147.06256745429408,147.4811757107297,155.778614825,155.932239248
"2207",26.37401,40.90486,"Edirne","İpsala",8.16841125881,7.95209444264,3.29978058272,156.1139871309563,156.50838770077058,157.322010193,157.474128958
"4129",30.11217,40.71745,"Kocaeli","Kartepe",32.1554155342,27.5398633806,11.9889624203,156.37458367271142,156.39851727806473,158.034848064,158.186281335
"5408",30.048647,40.454308,"Sakarya","Pamukova",14.1053131293,23.1874277518,7.8826585786,155.30621428171975,155.33031250365377,158.734958965,158.885724965
"1104",30.018308,40.35737,"Bilecik","Osmaneli",7.8552728863,6.91116379977,3.843908018,155.7687241182539,155.79275079859133,159.82946738,159.979201907
"4110",30.1525,41.0691,"Kocaeli","Kandıra",9.10186935241,6.58949885729,4.47287588539,161.26368941281936,118.65744931651551,161.885188804,162.033023653
"1030",28.128326,39.398932,"Balıkesir","Bigadiç",8.97013599954,7.07930083218,2.71167106112,152.9725199952298,153.2011615392756,162.762945742,162.909984061
"5419",30.168002,40.691755,"Sakarya","Sapanca",5.93428903581,10.9360448703,3.43088891252,161.25459559860397,161.27780501244612,163.046158379,163.192941521
"4314",29.617412,39.806247,"Kütahya","Domaniç",8.66016024808,9.06567758928,6.25148184334,157.61423929798988,157.6379846910233,165.140959561,165.285882412
"2202",26.58585,41.67049,"Edirne","Edirne Merkez",12.0289417398,7.59109370017,2.64634240029,159.26564545040983,159.65226043970057,165.341633682,165.486380795
"2205",26.73635,41.83031,"Edirne","Lalapaşa",7.93263946229,8.70978218001,4.65090546635,158.73565656946442,159.12355925289404,165.796805899,165.941155975
"5409",30.156068,40.505933,"Sakarya","Pamukova",12.122929599,14.5116349456,8.75219452001,162.96097099143702,162.98393741235748,165.927241791,166.071478492
"1101",29.9774,40.14106,"Bilecik","Bilecik Merkez",3.37949260013,3.40066928707,3.24852127351,161.6043511316202,161.62751032121753,166.910662931,167.054050535
"4134",30.23152,41.17205,"Kocaeli","Kandıra",20.5021760799,22.666773104,10.3712461388,169.07120098858755,150.02354148812512,170.283381878,170.42393184
"5403",30.26995,40.69078,"Sakarya","Sapanca",16.6524788419,18.8115924661,8.08229148477,169.85976901163517,169.88180278255035,171.589325569,171.728806696
"1016",27.65438,39.38041,"Balıkesir","Savaştepe",6.04015344872,7.3937183921,3.5374067292,162.73151438878597,163.10737752511125,172.001903712,172.141050539
"5410",30.30538,40.85594,"Sakarya","Adapazarı",7.72057949847,9.12503586593,5.36803251455,172.61948361287486,172.64116516850456,173.32257951,173.460666919
"5412",30.301188,41.036637,"Sakarya","Kaynarca",14.798461557,15.8214588124,5.41770097625,173.49943126218864,173.52100286785517,173.846190545,173.983862375
"1029",27.085388,39.558948,"Balıkesir","Havran",10.5738091807,8.79020899812,5.16971641064,167.25197652997846,167.6201721033444,174.972902275,175.109688283
"1701",26.39948,40.14145,"Çanakkale","Çanakkale Merkez",9.8033567879,9.86430755297,2.620765333,171.66979051046994,172.02853082171853,175.26162359,175.398184436
"1013",27.01924,39.58952,"Balıkesir","Edremit",10.1123959971,9.25762388152,3.79093013968,167.9600776883583,168.32672437806687,175.43022072,175.566650426
"1717",26.3578,40.1818,"Çanakkale","Eceabat",5.60580770143,7.29074478643,4.28961849798,173.10814494526642,173.4639106245495,176.398411651,176.534093118
"5404",30.29315,40.51912,"Sakarya","Geyve",15.653075256,16.5689743438,9.16002291754,174.11171821553887,174.1332139711735,176.839976195,176.975319129
"1015",28.16439,39.25458,"Balıkesir","Sındırgı",4.75709974759,4.56707980779,1.84423356843,168.81199108929772,169.00762585037768,178.644492494,178.778469337
"5407",30.35803,40.702853,"Sakarya","Arifiye",7.40230718931,9.85334652469,3.45016267143,177.20766247459503,177.228782729198,178.810486077,178.944338639
"5417",30.365448,40.762648,"Sakarya","Serdivan",17.225779465,13.6271609751,4.94178616191,177.58017553572924,177.60125149126537,178.826804035,178.960644392
"CNKL",26.3872,40.0662,"Çanakkale","Çanakkale Merkez",2.15311155603,2.76394509102,2.06088608175,176.26224485487313,176.6116570446288,180.21144382,180.344256587
"5401",30.38005,40.73707,"Sakarya","Adapazarı",4.75063254801,5.69996082068,3.17216828727,178.8908790024888,178.91180055615777,180.281225815,180.413987211
"5413",30.393892,40.766967,"Sakarya","Adapazarı",24.6909465136,22.5550494872,14.0483641349,179.97268198166128,179.99347779193408,181.182204821,181.314306506
"4310",29.493866,39.538442,"Kütahya","Tavşanlı",5.18383052051,3.2663760964,2.56025558938,172.78086093883792,172.80252224643402,181.254404678,181.386453781
"2201",26.08731,40.72448,"Edirne","Enez",0.630081667495,0.330584127183,0.378344116937,181.9861938275661,182.32463680647984,182.21496823,182.346321727
"1103",30.308275,40.282198,"Bilecik","Gölpazarı",8.45883425936,7.99444356721,2.92130299432,181.7875277434543,181.80811596581833,185.776132849,185.904970176
"1019",26.97546,39.49815,"Balıkesir","Burhaniye",5.77004577255,7.4807293397,2.26417948803,178.29702012356006,178.64245247899927,185.881541196,186.010305514
"1102",30.05292,39.90433,"Bilecik","Bozüyük",3.09525666566,6.01454133547,2.21232789838,180.2516232457094,180.27238687795878,186.425121094,186.553510219
"5411",30.470428,40.896725,"Sakarya","Söğütlü",11.5683153666,9.56265454334,0.00823967984011,186.74285432983726,186.76289629157634,187.188456498,187.316322423
"1105",30.179,40.02311,"Bilecik","Söğüt",4.63178648356,5.72187410792,2.29531946359,182.8765237605751,182.89698939762644,188.308422535,188.435528491
"5420",30.497882,40.94151,"Sakarya","Ferizli",5.11229611778,4.75485434187,4.51866465575,189.3576159250706,189.37738116467298,189.604503814,189.73074149
"4306",29.24905,39.33612,"Kütahya","Emet",3.67431179931,5.65490971879,2.3389414685,180.56329672732585,180.5840245232219,189.770379068,189.896506475
"1027",26.7422,39.57383,"Balıkesir","Edremit",8.99302685824,9.81127811387,7.92834247663,184.8341766888537,185.16741429046502,191.626938113,191.751844347
"4513",27.617055,39.1892,"Manisa","Soma",0.16436090286,0.155338879623,0.155988249498,183.9556836816508,184.29048467921635,193.310876648,193.434695519
"5418",30.545788,40.644443,"Sakarya","Karapürçek",4.47852637668,6.17884879741,2.98993853048,193.51146452575273,193.53080553458392,195.32336433,195.445908254
"5416",30.503367,40.398232,"Sakarya","Taraklı",7.28192652975,7.89063046556,2.7526312346,194.28344277348043,194.30270693914565,197.418893296,197.540137264
"2607",30.146,39.81749,"Eskişehir","İnönü",4.63781770767,5.84645238518,2.40545538572,192.2209454876812,192.24041633366642,198.51963754,198.640209648
"1704",26.34563,39.77388,"Çanakkale","Ezine",9.9551078384,6.29375283004,3.89918133736,196.10811396815524,196.4222258475789,201.244390777,201.363331367
"5406",30.6225,40.6703,"Sakarya","Akyazı",3.58344666349,3.24336757677,1.72917323521,199.75021797142156,199.76895496446318,201.377275509,201.496137659
"1026",26.83862,39.38445,"Balıkesir","Gömeç",8.27038574585,6.75566509026,2.36225999569,195.4751078967971,195.79023532861592,202.991760618,203.109677955
"4504",28.64812,39.03503,"Manisa","Demirci",7.39375293976,5.42514970977,2.6020525288,195.95483615364265,195.97393602202365,205.823719336,205.940015153
"4309",28.97848,39.09282,"Kütahya","Simav",3.90996450548,4.54447076886,1.57826257346,196.52008964513655,196.53913458162927,206.213481233,206.329557364
"5414",30.682163,41.097588,"Sakarya","Karasu",0.181326209163,0.0969459333731,0.282783428919,205.88303509591887,80.46416859129431,206.330409733,206.446420121
"1106",30.520847,40.176865,"Bilecik","Yenipazar",4.91404482701,7.77051397275,2.15860889809,202.70373583324698,202.72219984184775,206.866966012,206.982675669
"1716",26.40761,39.59965,"Çanakkale","Ayvacık",11.4296503084,7.96111158537,2.42064226943,203.74753956683037,204.04989174784544,209.647025832,209.761201943
"5405",30.7352,40.79609,"Sakarya","Hendek",0.0303318390551,0.0591205689514,0.0212383086424,208.75139597034195,208.76932511154453,209.682019884,209.796176949
"3508",27.37472,39.0883,"İzmir","Kınık",3.62123830864,3.94548575539,1.07813701467,201.4156385983779,201.72148600177104,210.479533922,210.593258676
"1722",25.9034,40.19739,"Çanakkale","Gökçeada",2.47814713677,2.09803798832,1.28739855397,208.70458797195948,208.99976909871384,211.122342398,211.235721078
"3537",27.17064,39.10957,"İzmir","Bergama",1.70536511433,2.74528648445,1.48854177761,206.3760781606491,206.67458498746447,215.06289504,215.174197391
"BORA",30.45341,39.88012,"Eskişehir","Tepebaşı",2.41191467446,4.48575748294,2.95843677382,211.04968102353715,211.06741493679235,216.535209009,216.645754957
"1005",26.68601,39.31134,"Balıkesir","Ayvalık",6.28367548099,7.3559914112,2.85906153651,209.98604202715887,210.27942431203786,217.31954726,217.429694433
"BOZC",26.0528,39.8419,"Çanakkale","Bozcaada",3.0461407766,5.12868634877,1.96920055378,213.25128983725722,213.54018605411068,217.494311292,217.604370003
"2617",30.572435,40.027497,"Eskişehir","Mihalgazi",2.7565443191,2.68115462742,1.16391828462,212.94331814845145,212.96089437273665,217.659397188,217.769372466
